sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:02:18;10.07;;;9.07;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:04:47;11.37;;;9.23;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:07:16;9.40;;;7.80;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:09:44;10.03;;;8.97;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:12:12;9.97;;;8.97;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:14:41;10.23;;;9.23;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:17:09;9.50;;;8.50;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:19:38;10.40;;;8.67;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:22:06;10.40;;;9.27;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:24:34;12.80;;;9.10;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:27:03;10.17;;;8.77;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:29:31;9.23;;;8.33;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:32:00;10.07;;;9.07;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:34:28;9.97;;;8.00;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:36:56;9.93;;;8.30;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:39:25;10.77;;;8.50;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:41:53;9.40;;;8.53;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:44:21;11.10;;;8.90;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:46:49;9.90;;;8.57;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:49:18;9.33;;;8.43;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:51:45;9.13;;;7.27;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:54:14;8.67;;;7.87;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:56:42;9.93;;;7.97;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T00:59:10;9.60;;;8.30;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:01:38;8.13;;;7.33;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:04:06;7.90;;;7.20;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:06:34;12.70;;;8.10;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:09:03;10.00;;;7.03;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:11:31;8.67;;;7.87;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:16:36;12.00;;;7.73;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:19:05;9.70;;;7.80;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:21:33;12.17;;;8.33;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:24:01;9.40;;;8.50;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:26:29;8.20;;;7.50;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:28:57;11.67;;;8.97;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:31:25;14.87;;;8.53;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:33:54;10.57;;;9.57;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:36:22;10.43;;;9.23;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:38:50;11.63;;;10.50;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:41:18;12.20;;;11.00;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:43:46;11.50;;;10.30;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:46:15;11.73;;;9.40;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:48:43;8.70;;;8.00;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:51:11;13.43;;;9.50;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:53:39;9.83;;;8.83;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:56:07;11.77;;;8.20;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T01:58:35;9.50;;;8.10;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:01:03;11.67;;;7.80;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:03:32;8.60;;;7.77;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:06:00;14.43;;;7.53;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:08:29;8.07;;;7.23;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:10:59;9.53;;;7.33;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:13:30;9.10;;;7.73;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:15:58;10.27;;;6.93;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:18:27;7.97;;;7.17;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:20:55;7.67;;;6.60;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:23:23;7.97;;;7.23;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:25:51;8.00;;;7.30;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:28:20;9.90;;;7.63;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:30:48;16.73;;;8.83;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:33:16;12.70;;;10.37;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:35:45;15.57;;;11.10;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:38:13;12.10;;;11.00;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:40:41;14.33;;;10.53;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:43:09;10.37;;;9.40;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:45:37;11.03;;;9.77;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:48:06;10.17;;;8.93;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:53:28;9.20;;;8.30;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T02:55:57;9.83;;;8.60;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:01:00;9.80;;;8.80;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:03:29;12.53;;;7.87;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:05:57;9.40;;;8.27;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:08:25;9.43;;;8.07;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:10:53;9.67;;;7.27;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:13:22;9.93;;;8.47;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:15:50;14.13;;;7.87;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:18:19;8.33;;;7.37;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:20:47;8.60;;;7.37;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:23:15;7.53;;;6.43;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:25:44;9.70;;;7.30;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:28:12;7.93;;;7.10;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:30:40;8.77;;;7.87;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:33:08;8.97;;;6.90;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:35:36;8.03;;;7.23;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:38:04;10.23;;;6.63;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:40:33;13.13;;;9.60;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:43:01;9.00;;;7.00;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:45:29;8.93;;;6.43;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:47:57;7.40;;;6.67;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:50:34;7.13;;;6.43;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:53:03;13.10;;;8.50;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:55:32;10.20;;;6.90;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T03:58:00;9.50;;;7.07;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:00:28;7.27;;;6.57;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:02:56;6.97;;;6.27;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:05:24;7.23;;;6.20;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:07:52;7.03;;;6.33;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:10:21;8.83;;;7.90;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:12:49;7.17;;;6.47;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:15:17;12.27;;;6.47;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:17:46;9.23;;;6.20;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:20:14;9.17;;;6.40;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:22:42;8.10;;;6.83;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:25:10;6.53;;;5.93;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:27:39;7.93;;;5.90;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:32:38;5.80;;;5.30;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:35:09;7.43;;;6.63;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:37:38;8.17;;;5.47;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:40:06;9.60;;;6.20;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:42:35;8.47;;;6.33;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:45:04;7.93;;;6.00;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:47:41;9.13;;;6.57;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:50:09;9.00;;;6.13;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:52:37;6.63;;;5.93;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:55:14;10.83;;;4.80;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T04:57:42;8.47;;;3.80;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:00:10;6.70;;;5.20;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:02:39;6.60;;;3.73;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:05:07;5.20;;;4.17;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:07:35;9.37;;;4.83;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:10:03;11.03;;;4.13;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:12:32;5.30;;;3.90;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:15:00;11.60;;;4.37;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:17:29;5.20;;;4.63;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:19:58;5.50;;;4.13;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:22:26;4.90;;;4.10;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:24:54;7.20;;;4.17;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:27:22;6.87;;;4.43;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:29:50;5.10;;;3.80;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:32:18;4.90;;;3.73;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:34:46;10.00;;;3.63;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:37:14;5.90;;;4.30;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:39:43;6.40;;;3.53;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:42:11;7.60;;;5.03;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:44:40;6.30;;;4.37;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:47:07;4.73;;;3.50;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:49:36;10.60;;;4.27;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:52:04;5.37;;;4.27;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:54:33;4.83;;;3.70;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:57:01;7.00;;;3.93;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T05:59:29;7.70;;;3.93;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:01:58;5.20;;;3.73;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:04:26;6.00;;;4.20;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:06:54;5.03;;;4.10;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:09:22;7.80;;;4.37;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:11:50;4.87;;;3.50;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:14:19;5.70;;;3.70;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:16:47;7.10;;;4.30;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:19:15;5.77;;;4.53;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:21:43;7.40;;;4.53;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:24:11;6.53;;;4.63;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:26:40;7.20;;;4.43;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:29:08;7.20;;;3.73;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:31:36;9.73;;;4.37;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:34:04;5.07;;;4.10;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:36:32;6.00;;;3.20;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:39:00;5.63;;;4.07;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:41:30;8.00;;;4.10;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:43:58;7.50;;;4.00;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:46:27;6.60;;;3.80;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:48:55;6.80;;;3.57;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:51:24;7.60;;;4.00;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:53:52;8.37;;;3.90;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:56:20;4.50;;;3.60;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T06:58:49;6.23;;;4.10;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:01:19;5.30;;;3.37;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:03:47;6.83;;;2.83;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:06:15;5.80;;;3.20;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:08:43;3.80;;;3.27;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:11:11;4.00;;;2.90;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:13:40;4.03;;;3.17;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:16:08;8.03;;;3.53;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:18:36;6.60;;;4.10;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:21:05;4.57;;;3.00;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:23:33;5.03;;;3.63;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:26:01;4.60;;;3.37;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:28:30;9.20;;;3.80;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:30:58;8.03;;;4.23;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:33:26;5.60;;;3.37;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:35:54;6.40;;;2.90;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:38:23;4.80;;;3.60;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:40:51;4.00;;;2.80;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:43:19;3.40;;;2.70;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:45:48;5.20;;;3.17;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:48:16;8.37;;;3.80;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:50:45;7.23;;;2.90;;
3491;http://www.opengis.net/def/sensors/types/examples/SDS011;1760;52.480;13.422;2019-07-11T07:53:14;3.00;;;2.70;;
